Molecule Name,Total Molweight,Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Rotatable Bonds,Ligand,Binding Affinity,Extracted_ZINC,Is_Correct_Alignment
ZINC15707032,397.905,397.905,-1.4503,-2.835,5,2,303.58,0.15647,49.81,0.39019,none,none,none,none,6,hur_model_ZINC15707032_uff_E=546.53,-8.0,ZINC15707032,True
ZINC15676550,386.451,386.451,-0.6588,-2.54,7,1,262.28,0.23654,91.13,0.87298,none,none,none,none,3,hur_model_ZINC15676550_uff_E=917.67,-7.5,ZINC15676550,True
ZINC15707035,422.915,422.915,-1.6147,-3.608,6,2,325.29,0.18771,73.6,-3.8898,none,none,none,none,6,hur_model_ZINC15707035_uff_E=631.27,-7.4,ZINC15707035,True
ZINC20465143,415.509,415.509,-0.9928,-0.144,9,3,296.68,0.31462,119.95,8.1202,none,none,none,none,6,hur_model_ZINC20465143_uff_E=811.68,-5.9,ZINC20465143,True
ZINC15676552,350.418,350.418,-1.6194,-2.269,7,1,241.44,0.25696,91.13,-3.5609,none,none,none,none,4,hur_model_ZINC15676552_uff_E=938.25,-6.0,ZINC15676552,True
ZINC30878622,408.537,408.537,0.6102,-1.281,7,1,332.58,0.19015,71.47,5.8461,none,none,none,none,12,hur_model_ZINC30878622_uff_E=499.52,-6.2,ZINC30878622,True
ZINC15676554,342.419,342.419,-1.8641,-0.851,7,1,223.62,0.36848,119.37,2.7823,none,none,none,none,3,hur_model_ZINC15676554_uff_E=1049.84,-5.5,ZINC15676554,True
ZINC15707039,415.895,415.895,-1.3495,-3.149,5,2,309.93,0.15326,49.81,-0.94981,none,none,none,none,6,hur_model_ZINC15707039_uff_E=546.79,-7.7,ZINC15707039,True
ZINC20465146,403.473,403.473,-0.822,-0.44,8,3,280.77,0.29683,110.72,5.4639,none,none,none,none,5,hur_model_ZINC20465146_uff_E=780.57,-6.9,ZINC20465146,True
ZINC15676556,350.418,350.418,-1.5093,-1.278,7,1,239.94,0.25856,91.13,-3.8642,none,none,none,none,3,hur_model_ZINC15676556_uff_E=896.73,-6.8,ZINC15676556,True
ZINC20465149,419.928,419.928,-0.3168,-0.862,8,3,289.84,0.28754,110.72,8.604,none,none,none,none,5,hur_model_ZINC20465149_uff_E=883.77,-6.8,ZINC20465149,True
ZINC00055296,322.387,322.387,-1.1594,-2.954,5,1,240.06,0.18587,60.42,3.1395,none,none,none,none,2,hur_model_ZINC00055296_uff_E=610.20,-7.0,ZINC00055296,True
ZINC15676557,404.388,404.388,-1.0049,-1.712,7,1,257.14,0.24127,91.13,-8.1016,none,none,none,none,4,hur_model_ZINC15676557_uff_E=902.23,-7.0,ZINC15676557,True
ZINC15676559,361.401,361.401,-2.0176,-1.707,8,1,249.39,0.30314,114.92,-3.6178,none,none,none,none,3,hur_model_ZINC15676559_uff_E=1451.65,-6.2,ZINC15676559,True
ZINC15707044,417.892,417.892,-2.8049,-2.425,7,3,313.38,0.2384,83.18,1.3883,none,none,none,none,7,hur_model_ZINC15707044_uff_E=710.58,-7.8,ZINC15707044,True
ZINC30878628,408.54,408.54,2.3091,-3.111,5,1,320.56,0.13489,53.01,5.7523,none,none,none,none,6,hur_model_ZINC30878628_uff_E=456.24,-7.4,ZINC30878628,True
ZINC15676561,330.363,330.363,-1.2917,-1.456,7,1,239.11,0.23629,74.91,2.8461,none,none,none,none,4,hur_model_ZINC15676561_uff_E=598.03,-6.4,ZINC15676561,True
ZINC15707046,425.958,425.958,-0.5658,-3.217,5,2,331.1,0.14346,49.81,-0.65981,none,none,none,none,8,hur_model_ZINC15707046_uff_E=548.96,-7.5,ZINC15707046,True
ZINC30878639,363.476,363.476,-1.3455,-1.506,6,2,298.6,0.22532,63.44,2.8172,none,none,none,none,6,hur_model_ZINC30878639_uff_E=418.07,-6.2,ZINC30878639,True
ZINC15676563,300.337,300.337,-1.2217,-1.438,6,1,216.85,0.21443,65.68,2.8461,none,none,none,none,3,hur_model_ZINC15676563_uff_E=572.77,-6.3,ZINC15676563,True
ZINC15676565,376.435,376.435,0.4375,-3.524,6,1,276.61,0.16811,65.68,2.8461,none,none,none,none,4,hur_model_ZINC15676565_uff_E=670.13,-7.7,ZINC15676565,True
ZINC15707049,398.893,398.893,-2.4512,-2.04,6,2,302.34,0.19339,62.7,0.39019,none,none,none,none,6,hur_model_ZINC15707049_uff_E=547.06,-7.9,ZINC15707049,True
ZINC20465155,330.427,330.427,-1.5586,-0.265,8,4,252.31,0.31414,97.3,8.704,none,none,none,none,5,hur_model_ZINC20465155_uff_E=418.89,-5.9,ZINC20465155,True
