Ligand,Binding Affinity
hur_model_ZINC49155162_uff_E=1113.66,-8.9
hur_model_ZINC20464497_uff_E=811.61,-8.9
hur_model_ZINC15676068_uff_E=829.18,-8.9
hur_model_ZINC67879341_uff_E=808.37,-8.9
hur_model_ZINC20464531_uff_E=1069.23,-8.9
hur_model_ZINC15676288_uff_E=715.02,-8.9
hur_model_ZINC15676343_uff_E=608.63,-8.9
hur_model_ZINC15676357_uff_E=649.18,-8.9
hur_model_ZINC67879604_uff_E=733.38,-8.9
hur_model_ZINC67879686_uff_E=766.71,-8.9
hur_model_ZINC15707240_uff_E=1116.05,-8.9
hur_model_ZINC15707191_uff_E=846.11,-8.9
hur_model_ZINC15707222_uff_E=883.96,-8.9
hur_model_ZINC15707310_uff_E=788.99,-8.9
hur_model_ZINC59676918_uff_E=1070.56,-8.9
hur_model_ZINC59676918_uff_E=1070.56,-8.9
hur_model_ZINC59676920_uff_E=1089.30,-8.9
hur_model_ZINC59676926_uff_E=1189.27,-8.9
hur_model_ZINC20503197_uff_E=701.24,-8.9
hur_model_ZINC06576216_uff_E=323.11,-8.9
hur_model_ZINC06576219_uff_E=322.63,-8.9
hur_model_ZINC59677272_uff_E=800.92,-8.9
hur_model_ZINC20503844_uff_E=1062.30,-8.9
hur_model_ZINC20503844_uff_E=1062.30,-8.9
hur_model_ZINC04005097_uff_E=825.33,-8.8
hur_model_ZINC31153771_uff_E=600.77,-8.8
hur_model_ZINC15675658_uff_E=923.53,-8.8
hur_model_ZINC15675622_uff_E=934.72,-8.8
hur_model_ZINC35442495_uff_E=676.30,-8.8
hur_model_ZINC22752971_uff_E=292.24,-8.8
hur_model_ZINC22752966_uff_E=322.90,-8.8
hur_model_ZINC22752958_uff_E=341.02,-8.8
hur_model_ZINC22752904_uff_E=453.23,-8.8
hur_model_ZINC20504090_uff_E=823.70,-8.8
hur_model_ZINC12602936_uff_E=664.74,-8.8
hur_model_ZINC35442280_uff_E=617.40,-8.8
hur_model_ZINC22752839_uff_E=604.39,-8.8
hur_model_ZINC12602922_uff_E=606.17,-8.8
hur_model_ZINC12602922_uff_E=606.17,-8.8
hur_model_ZINC20504055_uff_E=603.53,-8.8
hur_model_ZINC15675760_uff_E=709.30,-8.8
hur_model_ZINC20504052_uff_E=628.15,-8.8
hur_model_ZINC20504047_uff_E=817.06,-8.8
hur_model_ZINC20504041_uff_E=805.21,-8.8
hur_model_ZINC20504041_uff_E=805.21,-8.8
hur_model_ZINC12603088_uff_E=662.39,-8.8
hur_model_ZINC15675652_uff_E=747.78,-8.8
hur_model_ZINC15675572_uff_E=753.39,-8.8
hur_model_ZINC35442235_uff_E=716.58,-8.8
hur_model_ZINC15675614_uff_E=753.84,-8.8
hur_model_ZINC15707240_uff_E=1116.18,-8.8
